#Release 10.1.03 - par K.39 (lin)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Aug 20 15:45:06 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       PCI_PnP_map.ncd
#OUTPUT FILE:      PCI_PnP_pad.csv
#PART TYPE:        xc2s100
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P57,,IOB,IO_D4,UNUSED,,3,,,,,,,,,,
P58,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P59,,IOB,IO,UNUSED,,3,,,,,,,,,,
P60,,IOB,IO_D5,UNUSED,,3,,,,,,,,,,
P61,,,GND,,,,,,,,,,,,,
P62,,IOB,IO_D6,UNUSED,,3,,,,,,,,,,
P63,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P64,,IOB,IO,UNUSED,,3,,,,,,,,,,
P65,,IOB,IO_VREF_3,UNUSED,,3,,,,,,,,,,
P66,,IOB,IO,UNUSED,,3,,,,,,,,,,
P67,,IOB,IO_D7,UNUSED,,3,,,,,,,,,,
P68,,IOB,IO_INIT,UNUSED,,3,,,,,,,,,,
P69,,,PROGRAM,,,,,,,,,,,,,
P70,,,VCCO,,,1,,,,,3.30,,,,,
P71,,,VCCO,,,2,,,,,3.30,,,,,
P72,,,DONE,,,,,,,,,,,,,
P73,,,GND,,,,,,,,,,,,,
P74,,IOB,IO,UNUSED,,4,,,,,,,,,,
P75,,IOB,IO,UNUSED,,4,,,,,,,,,,
P76,,IOB,IO,UNUSED,,4,,,,,,,,,,
P77,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P78,,IOB,IO,UNUSED,,4,,,,,,,,,,
P79,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P80,,IOB,IO,UNUSED,,4,,,,,,,,,,
P81,,,GND,,,,,,,,,,,,,
P82,,,VCCINT,,,,,,,,2.5,,,,,
P83,,IOB,IO,UNUSED,,4,,,,,,,,,,
P84,,IOB,IO,UNUSED,,4,,,,,,,,,,
P85,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P86,,IOB,IO,UNUSED,,4,,,,,,,,,,
P87,PCI_RSTn,IOB,IO,INPUT,PCI33_5,4,,,,NONE,,LOCATED,,NO,NONE,
P88,,GCLKIOB,GCK0,UNUSED,,4,,,,,,,,,,
P89,,,GND,,,,,,,,,,,,,
P90,,,VCCO,,,2,,,,,3.30,,,,,
P91,PCI_CLK,GCLKIOB,GCK1,INPUT,PCI33_5,5,,,,NONE,,LOCATED,,NO,NONE,
P92,,,VCCINT,,,,,,,,2.5,,,,,
P93,PCI_GNTn,IOB,IO,INPUT,PCI33_5,5,,,,NONE,,LOCATED,,NO,NONE,
P94,PCI_REQn,IOB,IO_VREF_5,INPUT,PCI33_5,5,,,,NONE,,LOCATED,,NO,NONE,
P95,PCI_AD<31>,IOB,IO,BIDIR,PCI33_5,5,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P96,PCI_AD<30>,IOB,IO,BIDIR,PCI33_5,5,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P97,,,VCCINT,,,,,,,,2.5,,,,,
P98,,,GND,,,,,,,,,,,,,
P99,PCI_AD<29>,IOB,IO,BIDIR,PCI33_5,5,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P100,PCI_AD<28>,IOB,IO_VREF_5,BIDIR,PCI33_5,5,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P101,PCI_AD<27>,IOB,IO,BIDIR,PCI33_5,5,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P102,PCI_AD<26>,IOB,IO_VREF_5,BIDIR,PCI33_5,5,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P103,PCI_AD<25>,IOB,IO,BIDIR,PCI33_5,5,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P104,,,NC,,,,,,,,,,,,,
P105,,,NC,,,,,,,,,,,,,
P106,,,M2,,,,,,,,,,,,,
P107,,,VCCO,,,2,,,,,3.30,,,,,
P108,,,VCCO,,,3,,,,,3.30,,,,,
P109,,,M0,,,,,,,,,,,,,
P110,,,GND,,,,,,,,,,,,,
P111,,,M1,,,,,,,,,,,,,
P112,PCI_AD<24>,IOB,IO,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P113,PCI_CBE<3>,IOB,IO,INPUT,PCI33_5,6,,,,NONE,,LOCATED,,NO,NONE,
P114,PCI_IDSEL,IOB,IO,INPUT,PCI33_5,6,,,,NONE,,LOCATED,,NO,NONE,
P115,PCI_AD<23>,IOB,IO_VREF_6,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P116,PCI_AD<22>,IOB,IO,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P117,PCI_AD<20>,IOB,IO_VREF_6,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P118,PCI_AD<21>,IOB,IO,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P119,,,GND,,,,,,,,,,,,,
P120,PCI_AD<19>,IOB,IO,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P121,PCI_AD<18>,IOB,IO,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P122,PCI_AD<17>,IOB,IO_VREF_6,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P123,PCI_AD<16>,IOB,IO,BIDIR,PCI33_5,6,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P124,PCI_CBE<2>,IOB,IO,INPUT,PCI33_5,6,,,,NONE,,LOCATED,,NO,NONE,
P125,,,VCCINT,,,,,,,,2.5,,,,,
P126,PCI_FRAMEn,IOB,IO_TRDY,INPUT,PCI33_5,6,,,,NONE,,LOCATED,,NO,NONE,
P127,,,VCCO,,,3,,,,,3.30,,,,,
P128,,,GND,,,,,,,,,,,,,
P129,PCI_IRDYn,IOB,IO_IRDY,INPUT,PCI33_5,7,,,,NONE,,LOCATED,,NO,NONE,
P130,PCI_TRDYn,IOB,IO,TRISTATE,PCI33_5,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
P131,PCI_DEVSELn,IOB,IO,TRISTATE,PCI33_5,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
P132,PCI_LOCKn,IOB,IO_VREF_7,INPUT,PCI33_5,7,,,,NONE,,LOCATED,,NO,NONE,
P133,PCI_STOPn,IOB,IO,TRISTATE,PCI33_5,7,,NONE*,NONE**,,,LOCATED,,NO,NONE,
P134,PCI_PERRn,IOB,IO,INPUT,PCI33_5,7,,,,NONE,,LOCATED,,NO,NONE,
P135,,,GND,,,,,,,,,,,,,
P136,PCI_SERRn,IOB,IO,INPUT,PCI33_5,7,,,,NONE,,LOCATED,,NO,NONE,
P137,PCI_PAR,IOB,IO_VREF_7,INPUT,PCI33_5,7,,,,NONE,,LOCATED,,NO,NONE,
P138,PCI_CBE<1>,IOB,IO,INPUT,PCI33_5,7,,,,NONE,,LOCATED,,NO,NONE,
P139,PCI_AD<15>,IOB,IO_VREF_7,BIDIR,PCI33_5,7,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P140,PCI_AD<14>,IOB,IO,BIDIR,PCI33_5,7,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P141,PCI_AD<13>,IOB,IO,BIDIR,PCI33_5,7,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P142,,,TMS,,,,,,,,,,,,,
P143,,,GND,,,,,,,,,,,,,
P144,,,VCCO,,,3,,,,,3.30,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
